thr1,thr2,slope,beta,full,last,combined
0.5,0.65,10,0.95,0.551144662905527,0.8333911859238534,0.6358186198110249
0.5,0.65,10,1.0,0.5628324034662563,0.730448154854452,0.613117128882715
0.5,0.65,10,1.05,0.5707870214419285,0.6095077926425865,0.5824032528021259
0.5,0.65,10,1.1,0.5759747673480926,0.5059010946027195,0.5549526655244806
0.5,0.65,20,0.9,0.5296864485711547,1.0,0.6707805139998082
0.5,0.65,20,0.95,0.5471076626345154,1.0,0.6829753638441607
0.5,0.65,20,1.0,0.560427761927232,0.9973443614163302,0.6915027417739614
0.5,0.65,20,1.05,0.5676111525782236,0.8385760161567155,0.6489006116517712
0.5,0.65,20,1.1,0.5725694784805804,0.7050626236056738,0.6123174220181083
0.5,0.65,40,0.9,0.5276760123364095,1.0,0.6693732086354867
0.5,0.65,40,0.95,0.5442773774247265,1.0,0.6809941641973085
0.5,0.65,40,1.0,0.5583485815495846,0.9999999118617937,0.6908439806432473
0.5,0.65,40,1.05,0.5660411306916859,0.8408963411386131,0.648497693825764
0.5,0.65,40,1.1,0.5707630829985719,0.7071067188634247,0.6116661737580278
0.5,0.65,60,0.9,0.5272160456485876,1.0,0.6690512319540113
0.5,0.65,60,0.95,0.5436759535725749,1.0,0.6805731675008024
0.5,0.65,60,1.0,0.5579431282204756,1.0,0.690560189754333
0.5,0.65,60,1.05,0.5657283673312303,0.8408964152537148,0.6482787817079756
0.5,0.65,60,1.1,0.5705587653709789,0.707106781186548,0.6115231701156496
0.5,0.7,10,0.9,0.5343793281984716,0.9128180708310308,0.6479109509882393
0.5,0.7,10,0.95,0.5516036503981828,0.8333912727132441,0.6361399370927012
0.5,0.7,10,1.0,0.5640306857639488,0.7304482271140724,0.6139559481689858
0.5,0.7,10,1.05,0.5722349029814866,0.6095078528049467,0.5834167879285246
0.5,0.7,10,1.1,0.5777515999418704,0.5059011446930328,0.5561964633672192
0.5,0.7,20,0.9,0.5287037267017988,1.0,0.6700926086912591
0.5,0.7,20,0.95,0.546723654379992,1.0,0.6827065580659943
0.5,0.7,20,1.0,0.5606698815597928,0.9973442734059292,0.6916721991136336
0.5,0.7,20,1.05,0.5682286335061414,0.8385759421544334,0.649332826100629
0.5,0.7,20,1.1,0.5731737799280535,0.7050625613819612,0.6127404143642258
0.5,0.7,40,0.9,0.5262664132089392,1.0,0.6683864892462574
0.5,0.7,40,0.95,0.5434342078811475,1.0,0.6804039455168032
0.5,0.7,40,1.0,0.5575402285536185,0.9999999118617937,0.690278133546071
0.5,0.7,40,1.05,0.5655407976566756,0.8408963411386131,0.648147460701257
0.5,0.7,40,1.1,0.5706083248708065,0.7071067188634247,0.611557843068592
0.5,0.7,60,0.9,0.5259012416280048,1.0,0.6681308691396033
0.5,0.7,60,0.95,0.5427194141491896,1.0,0.6799035899044327
0.5,0.7,60,1.0,0.5568628600297265,1.0,0.6898040020208085
0.5,0.7,60,1.05,0.5649047267093541,0.8408964152537148,0.6477022332726623
0.5,0.7,60,1.1,0.5703862531396521,0.707106781186548,0.6114024115537209
0.5,0.75,10,0.9,0.5335705551393211,0.9128180708310308,0.647344809846834
0.5,0.75,10,0.95,0.5516383116523634,0.8333911859238534,0.6361641739338104
0.5,0.75,10,1.0,0.5650273783242583,0.730448154854452,0.6146536112833164
0.5,0.75,10,1.05,0.5736167657452139,0.6095077926425865,0.5843840738144257
0.5,0.75,10,1.1,0.5790129755188922,0.5059010946027195,0.5570794112440404
0.5,0.75,20,0.9,0.5279201582253478,1.0,0.6695441107577433
0.5,0.75,20,0.95,0.5459738553487409,1.0,0.6821816987441186
0.5,0.75,20,1.0,0.5610197301691252,0.9973442734059292,0.6919170931401664
0.5,0.75,20,1.05,0.5687737346110151,0.8385759421544334,0.6497143968740406
